t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,localmap_n,raw_n,tf_ok,pose_age_s,icp_fail_n
24.640,0.002902,0.000241,-0.001086,-0.004,0.9908,15.846,7.356,1747,86400,1,0.307,0
25.042,0.002357,-0.001128,-0.001674,0.012,0.9854,13.524,5.969,1747,86400,1,0.400,0
25.451,0.002694,-0.000032,-0.000542,-0.010,0.9899,19.406,4.113,1747,86400,1,0.028,0
25.872,0.002520,-0.000070,-0.000915,0.006,0.9887,10.082,4.274,1747,86400,1,0.040,0
26.297,0.002825,-0.000305,-0.001067,-0.009,0.9788,17.648,4.382,1747,86400,1,0.138,0
26.698,0.002407,-0.000215,-0.001661,-0.008,0.9854,18.333,4.796,1747,86400,1,0.170,0
27.115,0.005184,0.001880,-0.003467,0.005,0.9325,19.431,5.945,1747,86400,1,0.178,0
27.524,0.005184,0.001880,-0.003467,0.005,0.9325,17.521,5.687,1747,86400,1,0.587,0
27.930,0.005178,0.002302,-0.002607,-0.000,0.9182,18.625,3.126,1747,86400,1,0.076,0
28.332,0.004211,0.000023,-0.002861,-0.003,0.9472,12.669,4.117,1747,86400,1,0.103,0
28.750,0.003550,-0.001377,-0.001233,0.004,0.9416,18.356,4.784,1747,86400,1,0.221,0
29.166,0.003550,-0.001377,-0.001233,0.004,0.9416,19.336,8.887,1747,86304,1,0.637,0
29.617,0.003328,-0.002053,-0.000428,0.037,0.9876,14.767,5.705,1747,86400,1,0.185,0
30.031,0.003419,0.000851,-0.000120,-0.012,0.9854,20.610,5.548,1747,82656,1,0.086,0
30.431,0.002511,0.000124,-0.001277,0.012,0.9864,20.723,4.732,1747,86400,1,0.000,0
30.833,0.002512,0.000184,0.000443,-0.002,0.9795,13.153,6.701,1747,86400,1,0.103,0
31.266,0.002280,0.000728,-0.002376,-0.005,0.9798,18.812,6.557,1747,86400,1,0.108,0
31.668,0.000975,-0.000677,-0.001100,0.018,0.9888,17.867,6.315,1747,86400,1,0.027,0
32.073,0.002254,0.000096,-0.000747,0.004,0.9832,16.570,7.089,1747,82656,1,0.137,0
32.502,0.001216,0.000384,-0.000666,-0.004,0.9753,17.213,6.271,1747,86400,1,0.056,0
32.920,0.002546,0.000277,-0.001102,-0.006,0.9812,20.091,6.704,1747,86400,1,0.075,0
33.321,0.003188,-0.000616,-0.001570,-0.012,0.9888,15.274,6.743,1747,86400,1,0.091,0
33.731,0.002933,-0.000773,-0.000651,0.011,0.9865,14.695,6.307,1747,86400,1,0.094,0
34.168,0.003199,-0.001417,-0.000476,0.026,0.9817,14.462,6.479,1747,86400,1,0.138,0
34.568,0.001635,-0.000535,-0.001195,-0.004,0.9887,13.676,6.843,1747,86400,1,0.022,0
34.971,0.002185,-0.001055,-0.000821,-0.001,0.9774,17.017,5.759,1747,86304,1,0.031,0
35.405,0.003174,-0.000092,-0.000666,0.010,0.9831,15.597,6.499,1747,86400,1,0.264,0
35.809,0.001803,-0.000414,-0.001003,0.018,0.9786,16.008,5.865,1747,82656,1,0.073,0
36.209,0.001803,-0.000414,-0.001003,0.018,0.9786,17.099,5.948,1747,86400,1,0.473,0
36.620,0.002680,-0.000327,-0.001753,0.001,0.9932,16.164,4.404,1747,86400,1,0.091,0
37.070,0.003030,-0.000078,-0.001065,0.002,0.9790,15.673,4.417,1747,86400,1,0.117,0
37.521,0.002306,-0.002090,-0.001417,0.026,0.9809,15.616,4.781,1747,86400,1,0.095,0
37.971,0.001909,-0.002801,-0.001318,0.043,0.9800,15.106,7.120,1747,86400,1,0.138,0
38.371,0.003170,-0.000811,-0.001981,-0.001,0.9897,16.644,6.641,1747,86400,1,0.136,0
38.825,0.002734,-0.002209,-0.002238,0.006,0.9819,13.096,6.306,1747,86304,1,0.089,0
39.225,0.003277,-0.001654,-0.000674,-0.000,0.9779,16.926,5.601,1747,82656,1,0.006,0
39.629,0.002797,-0.000818,-0.000202,-0.002,0.9909,16.352,6.360,1747,86400,1,0.010,0
40.035,0.003240,-0.002683,0.000117,0.042,0.9830,12.945,6.664,1747,86400,1,0.094,0
40.468,0.004037,-0.002002,-0.001066,0.021,0.9829,22.404,6.123,1747,86400,1,0.136,0
40.902,0.002810,-0.001882,-0.000913,0.013,0.9900,13.060,5.606,1747,86304,1,0.077,0
41.316,0.003354,-0.001526,0.000065,0.006,0.9846,18.114,5.289,1747,86400,1,0.093,0
41.723,0.003132,-0.000834,-0.000441,-0.006,0.9889,17.390,3.868,1747,86400,1,0.183,0
42.124,0.004353,0.000487,-0.001307,-0.006,0.9889,15.330,4.421,1747,86400,1,0.187,0
42.530,0.002992,-0.000793,-0.001187,0.015,0.9922,18.181,5.335,1747,86400,1,0.205,0
42.932,0.002331,-0.001166,-0.001512,0.021,0.9787,20.423,4.962,1747,86304,1,0.292,0
43.345,0.003262,-0.001517,-0.000547,0.032,0.9944,15.309,4.746,1747,86400,1,0.119,0
43.750,0.002505,0.000107,-0.001006,-0.003,0.9820,15.214,5.028,1747,86400,1,0.114,0
44.172,0.003617,-0.002016,-0.001251,0.006,0.9897,16.556,4.911,1747,82656,1,0.218,0
44.618,0.002460,-0.001351,-0.002146,0.017,0.9856,18.813,5.539,1747,86400,1,0.173,0
45.025,0.001857,-0.001116,-0.000643,0.004,0.9876,17.859,5.561,1747,86400,1,0.181,0
45.426,0.002200,-0.000419,-0.000135,0.011,0.9866,15.821,5.057,1747,86400,1,0.000,0
45.827,0.002706,-0.000268,-0.000984,0.000,0.9899,19.694,5.090,1747,86400,1,0.302,0
