t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,localmap_n,raw_n,tf_ok,pose_age_s,icp_fail_n,wheel_x,wheel_y,wheel_yaw_deg
355.517,3.604452,-2.482411,0.014760,-126.407,0.8597,13.088,2.677,7847,86400,1,0.034,0,1.159526,-2.186621,170.375
355.934,3.605328,-2.483341,0.006835,-126.390,0.8453,13.208,5.359,7847,86400,1,0.034,0,1.159526,-2.186621,170.375
356.335,3.605633,-2.481225,0.008001,-126.226,0.8717,13.682,5.517,7847,86304,1,0.110,0,1.159526,-2.186621,170.375
356.758,3.606998,-2.482717,0.009264,-126.516,0.8405,15.946,4.888,7847,86400,1,0.147,0,1.159526,-2.186621,170.375
357.165,3.606038,-2.482657,0.007013,-126.313,0.8367,16.115,5.502,7847,86400,1,0.014,0,1.159526,-2.186621,170.375
357.568,3.605681,-2.481374,0.010728,-126.319,0.8575,16.547,5.843,7847,86400,1,0.027,0,1.159526,-2.186621,170.375
357.969,3.605621,-2.481737,0.007057,-126.342,0.8265,17.050,4.974,7847,86400,1,0.138,0,1.159526,-2.186621,170.375
358.381,3.604250,-2.482856,0.009001,-126.352,0.8504,17.883,5.227,7847,82656,1,0.048,0,1.159526,-2.186621,170.375
358.796,3.602612,-2.482344,0.008874,-126.217,0.8772,16.614,5.467,7847,86400,1,0.158,0,1.159526,-2.186621,170.375
359.207,3.602771,-2.482466,0.006623,-126.349,0.8295,15.839,5.064,7847,86400,1,0.305,0,1.159526,-2.186621,170.375
359.614,3.605240,-2.482236,0.013374,-126.413,0.8664,15.764,5.036,7847,86400,1,0.195,0,1.159526,-2.186621,170.375
360.015,3.604782,-2.482845,0.006618,-126.396,0.8463,15.133,5.025,7847,86400,1,0.201,0,1.159526,-2.186621,170.375
360.416,3.606255,-2.483187,0.009431,-126.374,0.8571,14.156,4.585,7847,82656,1,0.148,0,1.159526,-2.186621,170.375
360.816,3.605635,-2.481902,0.009568,-126.213,0.8955,14.202,4.282,7847,86400,1,0.046,0,1.159526,-2.186621,170.375
361.236,3.604927,-2.481599,0.008882,-126.303,0.8292,14.571,4.537,7847,86400,1,0.000,0,1.159526,-2.186621,170.375
361.659,3.604051,-2.480608,0.011043,-126.314,0.8614,14.081,4.420,7847,86400,1,0.261,0,1.159526,-2.186621,170.375
362.073,3.604938,-2.479451,0.012814,-126.402,0.8333,13.552,4.058,7847,86400,1,0.226,0,1.159526,-2.186621,170.375
362.476,3.604406,-2.477420,0.009235,-126.223,0.8884,13.612,3.082,7847,82656,1,0.032,0,1.159526,-2.186621,170.375
362.877,3.604406,-2.477420,0.009235,-126.223,0.8884,12.613,3.051,7847,86400,1,0.433,0,1.159526,-2.186621,170.375
363.278,3.603513,-2.478877,0.006911,-126.321,0.8243,12.018,1.752,7847,86304,1,0.168,0,1.159526,-2.186621,170.375
363.682,3.603340,-2.481880,0.008211,-126.495,0.8520,13.591,2.401,7847,86400,1,0.170,0,1.159526,-2.186621,170.375
364.095,3.601795,-2.483794,0.008756,-126.248,0.8730,13.169,3.608,7847,86400,1,0.265,0,1.159526,-2.186621,170.375
364.498,3.600679,-2.483438,0.007500,-126.317,0.8750,15.258,4.531,7847,86400,1,0.063,0,1.159526,-2.186621,170.375
364.901,3.601419,-2.483667,0.008541,-126.380,0.8219,15.164,4.942,7847,86400,1,0.374,0,1.159526,-2.186621,170.375
365.309,3.602220,-2.482092,0.006863,-126.362,0.8176,14.390,4.199,7847,86304,1,0.085,0,1.159526,-2.186621,170.375
365.724,3.601017,-2.480702,0.008180,-126.269,0.8698,13.333,4.033,7847,86400,1,0.000,0,1.159526,-2.186621,170.375
366.127,3.602234,-2.481961,0.007557,-126.321,0.8671,14.103,4.746,7847,86400,1,0.000,0,1.159526,-2.186621,170.375
366.534,3.602380,-2.482837,0.008402,-126.353,0.8481,14.206,5.208,7847,86400,1,0.203,0,1.159526,-2.186621,170.375
366.937,3.602213,-2.483014,0.006992,-126.171,0.8629,14.499,5.325,7847,86400,1,0.071,0,1.159526,-2.186621,170.375
367.337,3.602213,-2.483014,0.006992,-126.171,0.8629,15.337,6.132,7847,86304,1,0.472,0,1.159526,-2.186621,170.375
367.738,3.602484,-2.484647,0.009265,-126.395,0.8753,14.857,4.583,7847,86400,1,0.108,0,1.159526,-2.186621,170.375
368.157,3.603073,-2.484935,0.009971,-126.431,0.8917,14.698,4.435,7847,86400,1,0.247,0,1.159526,-2.186621,170.375
368.581,3.604485,-2.483588,0.007148,-126.410,0.8326,13.143,4.024,7847,86400,1,0.230,0,1.159526,-2.186621,170.375
368.982,3.604506,-2.484012,0.007058,-126.399,0.8277,14.185,3.715,7847,86400,1,0.276,0,1.159526,-2.186621,170.375
369.383,3.604235,-2.482852,0.010741,-126.261,0.8989,14.817,3.340,7847,82560,1,0.257,0,1.159526,-2.186621,170.375
369.830,3.604428,-2.483466,0.005673,-126.304,0.8733,15.160,2.669,7847,86400,1,0.421,0,1.159526,-2.186621,170.375
370.231,3.604982,-2.482028,0.008132,-126.267,0.8239,15.158,2.660,7847,86400,1,0.000,0,1.159526,-2.186621,170.375
370.635,3.604385,-2.482102,0.008940,-126.256,0.8761,15.281,3.867,7847,86400,1,0.118,0,1.159526,-2.186621,170.375
371.036,3.604790,-2.483710,0.009199,-126.540,0.8345,15.247,4.252,7847,86400,1,0.263,0,1.159526,-2.186621,170.375
371.452,3.605459,-2.482792,0.005452,-126.339,0.8318,15.242,5.767,7847,82656,1,0.136,0,1.159526,-2.186621,170.375
371.854,3.605459,-2.482792,0.005452,-126.339,0.8318,17.234,5.767,7847,86400,1,0.537,0,1.159526,-2.186621,170.375
372.254,3.604580,-2.483598,0.007955,-126.352,0.8588,17.321,3.156,7847,86400,1,0.027,0,1.159526,-2.186621,170.375
372.673,3.604534,-2.481786,0.008850,-126.345,0.8368,17.012,3.035,7847,86400,1,0.253,0,1.159526,-2.186621,170.375
373.076,3.604437,-2.482788,0.008198,-126.360,0.8623,16.089,3.729,7847,86400,1,0.151,0,1.159526,-2.186621,170.375
373.478,3.605613,-2.483343,0.011288,-126.393,0.8756,16.194,5.869,7847,86400,1,0.059,0,1.159526,-2.186621,170.375
373.897,3.606306,-2.483461,0.005401,-126.431,0.8345,16.290,6.221,7847,86400,1,0.384,0,1.159526,-2.186621,170.375
374.314,3.605613,-2.483750,0.007569,-126.293,0.8603,14.197,5.034,7847,86304,1,0.399,0,1.159526,-2.186621,170.375
374.741,3.605979,-2.483937,0.009327,-126.466,0.8456,15.045,3.517,7847,86400,1,0.211,0,1.159526,-2.186621,170.375
375.156,3.604914,-2.484155,0.006645,-126.309,0.8510,15.145,2.657,7847,86400,1,0.030,0,1.159526,-2.186621,170.375
375.560,3.603959,-2.483749,0.006258,-126.319,0.8274,15.221,3.136,7847,86400,1,0.050,0,1.159526,-2.186621,170.375
375.961,3.603959,-2.483749,0.006258,-126.319,0.8274,14.692,4.085,7847,86400,1,0.451,0,1.159526,-2.186621,170.375
376.372,3.603231,-2.484319,0.006721,-126.314,0.8622,15.211,2.781,7847,82656,1,0.044,0,1.159526,-2.186621,170.375
376.773,3.602903,-2.483821,0.008697,-126.215,0.8792,15.904,4.410,7847,86400,1,0.060,0,1.159526,-2.186621,170.375
377.179,3.602903,-2.483821,0.008697,-126.215,0.8792,15.695,4.279,7847,86400,1,0.466,0,1.159526,-2.186621,170.375
377.600,3.602367,-2.482753,0.005691,-126.260,0.8504,16.403,5.032,7847,86400,1,0.079,0,1.159526,-2.186621,170.375
378.013,3.601531,-2.482207,0.007262,-126.350,0.8184,16.479,5.135,7847,86400,1,0.127,0,1.159526,-2.186621,170.375
378.428,3.603096,-2.482374,0.009831,-126.476,0.8311,15.809,5.168,7847,82560,1,0.249,0,1.159526,-2.186621,170.375
378.836,3.600997,-2.481288,0.005462,-126.279,0.8394,16.343,6.140,7847,86400,1,0.310,0,1.159526,-2.186621,170.375
379.261,3.603279,-2.479763,0.008032,-126.379,0.8497,14.354,5.763,7847,86400,1,0.102,0,1.159526,-2.186621,170.375
379.662,3.603330,-2.480319,0.008731,-126.318,0.8416,13.317,5.733,7847,86304,1,0.206,0,1.159526,-2.186621,170.375
380.065,3.603216,-2.479444,0.008447,-126.301,0.8633,11.991,5.474,7847,86400,1,0.312,0,1.159526,-2.186621,170.375
380.475,3.603661,-2.480070,0.005786,-126.345,0.8367,11.491,4.435,7847,86400,1,0.370,0,1.159526,-2.186621,170.375
380.880,3.603661,-2.480070,0.005786,-126.345,0.8367,17.290,5.140,7847,86400,1,0.775,0,1.159526,-2.186621,170.375
381.295,3.607451,-2.480236,0.009082,-126.487,0.8467,16.105,3.009,7847,86304,1,0.312,0,1.159526,-2.186621,170.375
381.709,3.606900,-2.480920,0.007435,-126.440,0.8844,14.453,2.398,7847,82656,1,0.287,0,1.159526,-2.186621,170.375
382.116,3.605512,-2.484283,0.007501,-126.414,0.8404,13.337,4.565,7847,86400,1,0.099,0,1.159526,-2.186621,170.375
382.516,3.605934,-2.482537,0.006484,-126.290,0.8568,16.213,5.299,7847,86400,1,0.085,0,1.159526,-2.186621,170.375
382.916,3.605703,-2.482430,0.005845,-126.388,0.8516,11.744,4.984,7847,86400,1,0.189,0,1.159526,-2.186621,170.375
383.323,3.604684,-2.481973,0.006363,-126.390,0.8456,10.050,5.544,7847,86400,1,0.097,0,1.159526,-2.186621,170.375
383.754,3.603097,-2.484713,0.008599,-126.378,0.8307,15.376,6.336,7847,86400,1,0.212,0,1.159526,-2.186621,170.375
384.161,3.604082,-2.484203,0.009771,-126.429,0.8793,17.548,5.486,7847,86400,1,0.380,0,1.159526,-2.186621,170.375
384.588,3.604082,-2.484203,0.009771,-126.429,0.8793,12.002,5.690,7847,86400,1,0.807,0,1.159526,-2.186621,170.375
385.000,3.605073,-2.484002,0.008024,-126.438,0.8122,11.225,2.614,7847,86400,1,0.080,0,1.159526,-2.186621,170.375
385.401,3.604926,-2.483272,0.009839,-126.390,0.8700,16.246,2.765,7847,86304,1,0.051,0,1.159526,-2.186621,170.375
385.803,3.605062,-2.485179,0.010772,-126.529,0.8864,10.744,6.784,7847,86400,1,0.147,0,1.159526,-2.186621,170.375
386.203,3.605167,-2.485612,0.008188,-126.409,0.8299,20.261,5.443,7847,86400,1,0.182,0,1.159526,-2.186621,170.375
