t,x,y,z,yaw_deg,quality,lidar_hz,pose_hz,localmap_n,raw_n,tf_ok,pose_age_s,icp_fail_n
0.978,-0.000298,0.000362,0.000223,-0.003,,0.000,0.000,,,0,0.001,0
1.415,-0.000334,0.000876,-0.000645,-0.012,0.9917,0.000,4.518,1672,,0,0.217,0
1.819,-0.000334,0.000876,-0.000645,-0.012,0.9917,15.774,4.518,1672,86400,0,0.620,0
2.224,0.000689,0.000598,0.000164,-0.004,0.9906,17.292,2.693,1672,86400,0,0.133,0
2.682,-0.000128,0.000756,0.000182,-0.016,0.9803,16.165,2.448,1672,86400,0,0.071,0
3.082,0.000383,0.000183,0.000344,-0.015,0.9905,14.898,2.477,1672,86400,1,0.269,0
3.487,-0.000949,0.000481,0.000743,-0.029,0.9789,13.784,3.894,1672,82560,1,0.080,0
3.899,-0.000207,0.000730,0.000570,-0.020,0.9824,13.717,3.778,1672,86400,1,0.220,0
4.315,-0.000483,0.000451,-0.000163,0.003,0.9720,12.113,4.197,1672,86400,1,0.274,0
4.718,0.000145,0.001116,-0.000044,-0.013,0.9847,12.196,3.543,1672,86400,1,0.211,0
5.138,-0.001402,0.001123,0.000989,-0.011,0.9861,12.663,4.710,1672,86400,1,0.135,0
5.561,0.000131,0.000717,-0.000224,-0.005,0.9871,14.053,5.566,1672,86400,1,0.085,0
5.962,0.000155,0.000672,0.000367,-0.022,0.9881,15.687,5.945,1672,86400,1,0.071,0
6.384,-0.000966,0.000422,0.000120,-0.005,0.9848,16.040,7.308,1672,86400,1,0.099,0
6.787,0.000067,-0.000378,0.000910,0.012,0.9929,16.196,6.367,1672,86400,1,0.004,0
7.197,0.000503,0.000647,0.000089,-0.007,0.9848,16.702,6.368,1672,86400,1,0.113,0
7.598,-0.000233,-0.000018,-0.000698,0.007,0.9883,15.702,6.044,1672,86400,1,0.316,0
8.018,0.000098,0.000442,-0.000035,0.010,0.9861,15.267,3.883,1672,86400,1,0.117,0
8.440,-0.000722,0.000637,-0.000581,-0.004,0.9849,16.195,3.824,1672,86304,1,0.350,0
8.853,-0.000149,0.001733,-0.000733,-0.000,0.9822,15.555,3.328,1672,86400,1,0.167,0
9.255,-0.001844,0.001051,0.000379,-0.023,0.9801,16.055,2.622,1672,86400,1,0.067,0
9.657,-0.001844,0.001051,0.000379,-0.023,0.9801,16.524,3.107,1672,86400,1,0.469,0
10.063,-0.000629,0.000918,-0.000271,-0.006,0.9835,15.579,2.757,1672,86400,1,0.159,0
10.483,0.000116,-0.000297,0.000660,-0.003,0.9870,15.756,3.159,1672,82656,1,0.269,0
10.884,0.000041,-0.000899,0.000061,0.024,0.9884,16.278,4.142,1672,86400,1,0.005,0
11.299,0.000417,-0.000144,-0.000446,0.005,0.9928,14.771,5.722,1672,86400,1,0.202,0
11.699,0.000244,0.001032,0.000690,-0.013,0.9894,15.249,5.324,1672,86400,1,0.105,0
12.112,0.000484,0.000862,0.000065,-0.010,0.9882,16.098,5.322,1672,86400,1,0.020,0
12.515,-0.000513,0.002196,0.000168,-0.019,0.9836,16.122,6.500,1672,82560,1,0.119,0
12.919,0.000221,0.001334,-0.000179,-0.010,0.9835,15.170,6.284,1672,86400,1,0.029,0
13.321,-0.000638,0.001312,-0.001093,-0.006,0.9788,14.745,7.268,1672,86400,1,0.214,0
13.722,0.000072,0.001186,0.000414,0.016,0.9860,14.204,7.524,1672,86400,1,0.034,0
14.137,-0.000557,0.001155,0.000330,-0.015,0.9894,14.062,7.251,1672,86400,1,0.020,0
14.606,-0.000557,0.001155,0.000330,-0.015,0.9894,12.009,6.981,1672,86400,1,0.490,0
15.019,-0.000557,0.001155,0.000330,-0.015,0.9894,11.598,5.949,1672,86400,1,0.902,0
15.419,-0.000541,0.000863,0.000333,-0.010,0.9906,12.598,3.174,1672,86304,1,0.032,0
15.821,-0.000459,0.001524,-0.000009,0.012,0.9859,12.983,2.618,1672,86400,1,0.029,0
16.223,-0.000928,0.001175,0.000490,-0.029,0.9801,13.035,7.024,1672,86400,1,0.124,0
16.623,-0.001597,0.001606,-0.000041,-0.009,0.9859,12.778,5.489,1672,86400,1,0.143,0
17.039,-0.000765,0.000802,0.001506,-0.020,0.9883,14.556,4.964,1672,86400,1,0.040,0
17.465,-0.000658,0.000322,-0.000541,0.002,0.9860,14.679,5.023,1672,82560,1,0.172,0
17.866,0.000706,0.000711,0.000245,-0.015,0.9742,15.568,4.192,1672,86400,1,0.061,0
18.280,0.001290,0.000624,-0.000810,0.009,0.9848,16.582,4.086,1672,86400,1,0.087,0
18.687,-0.000406,0.000450,-0.000429,-0.027,0.9845,17.378,5.516,1672,86400,1,0.082,0
19.092,0.000198,0.000860,0.001264,-0.008,0.9965,16.812,5.560,1672,86400,1,0.105,0
19.516,-0.000101,0.000799,-0.000358,0.001,0.9790,17.357,6.711,1672,82656,1,0.332,0
19.917,-0.000231,0.000913,0.000581,-0.017,0.9895,17.987,6.423,1672,86400,1,0.011,0
20.321,-0.000355,0.001133,0.001460,-0.015,0.9849,17.859,5.211,1672,86400,1,0.018,0
20.741,0.000450,0.000096,0.000019,0.005,0.9881,16.446,4.887,1672,86400,1,0.117,0
21.161,0.000899,0.000318,-0.000447,0.009,0.9858,15.287,3.839,1672,86400,1,0.154,0
21.571,0.000607,0.000680,-0.000263,-0.008,0.9882,13.802,3.913,1672,86400,1,0.079,0
21.972,0.000607,0.000972,0.001202,0.001,0.9858,14.783,3.603,1672,86400,1,0.282,0
