t,mx,my,mz,yaw
11671.039112948,0.022312056763344617,-0.0035560634446444445,-0.000957211311313956,0.0017739710205435524
11671.208448517,0.058053718455987904,-0.009734979668658396,-0.008671625738033987,0.007196088150545065
11671.302811939,0.0676542563856558,-0.014565620892242838,-0.0035966141538910715,0.00772789558947684
11671.411542094,0.07503700854195719,-0.01700208645984931,-0.00505345020924631,0.009174469954897903
11671.507559543,0.08637845086486694,-0.01816563716451974,-0.0055893525868994315,0.009819978649838744
11671.631672233,0.099352185191105,-0.019954584239142655,-0.0034576507093262844,0.012680118838917401
11671.700752901,0.10983274435645174,-0.020689107277550075,-0.00127414734440662,0.013932588427454368
11671.909577824,0.15265629372626666,-0.008821538773198762,0.01344385489601351,0.00015391270888187594
11672.016660353,0.1741973692339078,-0.001305723263074731,0.007473795735273692,-0.00017188244191590485
11672.098499233,0.18675799259140685,0.0016245079276671886,0.005175445221972239,-0.0007202276213558181
11672.191734883,0.19657249394495538,0.0025074133780354007,0.001733748079935348,-0.0003135358180537119
11672.293754051,0.20689736228465422,0.002812494868988162,0.003085053897286812,0.0018397127734641747
11672.405350679,0.21664045406049667,0.0025388877581058442,0.0017354804713325446,0.002923874550549765
11672.523823129,0.2255341535378709,0.0007433968471465722,-0.0006991853589987848,0.0038867467854135636
11672.705872619,0.24741012764550646,-0.0010751560498808259,-0.0012830204649208082,0.0039671394565568
11672.82060347,0.256635784871595,-0.004003910893775825,-0.001728491454569434,0.005056071596879709
11672.92310713,0.259593458764966,-0.005860632369802567,-0.0017896853404116904,0.006545955740488107
11672.98576581,0.26255282501012994,-0.007454777914050254,0.00011981386803205979,0.005386219613548348
11673.091347117,0.2734564009689651,-0.010615803064424757,-0.001181096972391927,0.006559059628903796
11673.203506895,0.29158244983226417,-0.012695102992250561,-0.000988000297995397,0.006491770386814367
11673.307508769,0.30662384504499046,-0.006581358613416712,0.006470034377607139,-0.0004168949682421541
11673.409023572,0.32393292909869864,0.0007599986262841487,0.008436128396484095,-0.0025059448543234275
11673.610218571,0.35035146103461723,0.004019675387553184,0.0064392958024987726,-0.0029506240201171434
11673.716722172,0.3673113670134739,0.004972143497470663,0.005522441474601305,-0.002116509355682083
11673.788924422,0.37698032221207256,0.005581810375104486,0.004114370251448239,-0.003346238210954144
11674.091473676,0.4093651973370284,0.0030097673349191757,0.001844352618440003,-0.0003997893249167994
11674.21523874,0.4249533173509019,0.0002338365531102002,-0.0006019005995007484,0.0023000628706304482
11674.300047838,0.4318605697658148,-0.0009495563877842581,0.0007957125550527656,0.0033005303337381164
11674.388533477,0.44065504966165286,-0.005166866400711119,-0.0024532446096300464,0.002929460434886621
11674.503789012,0.4577201277063632,-0.009750231008061706,0.00044525031857355876,0.0036513714902350882
11674.595990649,0.46897507962307405,-0.011403973945246736,0.0003337086357657984,0.0035402800519022106
11674.714643487,0.48934107576197367,-0.006657888124364242,0.0040055876275071215,0.0014824206157979523
11674.803980732,0.5046967387786989,0.00017245353910691797,0.007264234404747678,-0.0030567472576499286
11674.909559957,0.5253212601006906,0.004394466602990248,0.0070717134803916035,-0.0020708217334051153
11675.001309871,0.5372992780850117,0.007042803539732572,0.005078458373568549,-0.0025707743089866675
11675.105145628,0.5512328585204808,0.00855095297155199,0.0044584359330723565,-0.0030816987816311148
11675.209979875,0.5629854313154836,0.008094037389477247,0.003481625948879072,-0.0027935300835899572
11675.287194763,0.5755831647482906,0.006415540905010303,0.0049827699162632725,-0.0023727253746805843
11675.514201039,0.599799652164321,0.005302134770318123,0.0006934731960559218,-0.0003165999991647795
11675.593499212,0.6073275315685676,0.0044948487354186965,-4.557784634356851e-05,0.0010136802251530244
11675.698057419,0.61959334649426,0.0033696788031200324,-0.00029700767812215284,0.0018502751456903608
11675.800664312,0.6294324828073878,0.0009688329558198782,-0.0014335698074283974,0.0028448472520805615
11675.901836353,0.643039707820207,-0.0023782203254615604,0.00023574638493421997,0.003386374054136444
11676.008958497,0.6534862970453374,-0.002903243855678319,-0.0015276449124416228,0.0007681418830149946
11676.109363958,0.6652902989521241,-0.0025163213749160363,0.0006278309346614205,0.0006247639546703708
11676.337240911,0.6923925070922246,-0.00034799030692176514,0.005461556338062838,-0.0014606473696203712
11676.41000599,0.7053461636255162,0.004719763523333002,0.007437669427065889,-0.00418383604592254
11676.501602043,0.7272628468671816,0.007418056699613748,0.0048364126581809915,-0.0027204379211109853
11676.628239562,0.7425968176981749,0.009272766178801345,0.006030063687586439,-0.0017907325116972574
11676.71593526,0.7605741589392861,0.003877104302941229,0.004634673339097052,0.0005208522879076583
11676.833934223,0.7731050394038111,0.0012112824471141245,0.003980956782332484,0.0005062111751574783
